Gevonden: 1642 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10062 | 18150 | Point (4.95466314715688 51.658752549565406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10062 | 18150 | Point (4.954663855384985 51.65875323243754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10063 | 38345 | Point (4.965008421137739 51.677703043644414)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10064 | 38337 | Point (4.932537637046493 51.68601213982782)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10064 | 38337 | Point (4.932538323323517 51.686012806056254)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10150 | 14196 | Point (5.379916345853808 51.66826977095106)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10150 | 14196 | Point (5.379916543026976 51.66827063065985)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10173 | 28312 | Point (5.333001442004697 51.9531799046011)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10173 | 28312 | Point (5.333001548670836 51.95318075199694)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10275 | 39308 | Point (4.895370358802935 52.08886688832469)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10275 | 39308 | Point (4.895370299419334 52.08886752901592)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10369 | 26236 | Point (4.910608137267755 51.94594426179195)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10369 | 26236 | Point (4.910608357572277 51.945944909034516)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10396 | 22657 | Point (5.125522309938579 52.03770512752433)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10396 | 22657 | Point (5.125522361503607 52.03770590712266)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10443 | 37858 | Point (4.805482174117768 51.98836386539577)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10443 | 37858 | Point (4.805482326686305 51.98836442900257)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10495 | 23898 | Point (5.33972290780902 52.0076430063006)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10535 | 30651 | Point (4.927522619979776 51.88206823954896)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10535 | 30651 | Point (4.927522954223565 51.882068898426006)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10544 | 25986 | Point (4.920658579801928 52.057915538354564)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10544 | 25986 | Point (4.920658584841562 52.05791619637391)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10590 | 523132 | Point (5.135649215879788 51.819915124351965)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10677 | 39617 | Point (5.054614900183468 51.78668994178061)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10767 | 20105 | Point (5.042462438957231 52.01886783345591)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10767 | 20105 | Point (5.042462515393846 52.01886856909207)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10812 | 17035 | Point (4.887463037837951 51.90323485528365)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10851 | 515493 | Point (4.875542885647283 51.84618774584821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10851 | 515493 | Point (4.875542454296086 51.846187125912095)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10932 | 16106 | Point (4.882076865088548 51.85231859617703)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10932 | 16106 | Point (4.882077280349025 51.852319221171584)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10948 | 31256 | Point (5.299654311817442 51.52231769054074)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11062 | 26251 | Point (4.941634509051309 51.97499928759607)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11062 | 26251 | Point (4.941634668179117 51.97499995776627)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11070 | 15376 | Point (5.301959299879114 51.6146853549822)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11070 | 15376 | Point (5.301959618481403 51.614686201940785)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11188 | 35711 | Point (5.07429658978556 51.569058425992)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11188 | 35711 | Point (5.074297272073429 51.569059186872394)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11212 | 16117 | Point (4.866726621322576 51.84426079738121)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11212 | 16117 | Point (4.866727061865107 51.844261410382536)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11323 | 30408 | Point (5.034391795061436 52.05031153426842)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11323 | 30408 | Point (5.034391823556378 52.050312266435036)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11355 | 21998 | Point (5.021605078257222 51.85752848648849)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11384 | 8988 | Point (4.923507555271842 51.99964771231532)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11384 | 8988 | Point (4.923507439498442 51.99964705436357)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11428 | 22707 | Point (5.137537090706642 51.99746423487794)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11428 | 22707 | Point (5.137537190530359 51.99746501864075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11461 | 32731 | Point (5.337110031990713 51.80364423143294)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11482 | 8973 | Point (4.991447809504144 52.010250223783366)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11482 | 8973 | Point (4.991447717485977 52.01024951930924)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11577 | 24047 | Point (5.073230555173843 51.91690131559711)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11577 | 24047 | Point (5.0732307724778 51.91690206592456)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11578 | 518915 | Point (5.125918175691731 51.501428654941954)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11578 | 518915 | Point (5.125918857691086 51.501429446936655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11625 | 35839 | Point (5.136683196630432 51.61279526304771)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11634 | 23551 | Point (5.078156733613304 51.87901056798021)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11634 | 23551 | Point (5.078157000588716 51.87901132065425)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11637 | 34092 | Point (4.88900010861137 52.03853313094497)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11637 | 34092 | Point (4.889000149517519 52.03853376455032)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11726 | 23910 | Point (5.363366981774146 51.996370017784955)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11757 | 517470 | Point (4.844900304312084 52.020190987828975)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11757 | 517470 | Point (4.844900383235528 52.020191585763335)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11816 | 9002 | Point (4.810988845338642 51.945012995579816)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11816 | 9002 | Point (4.810989094741902 51.945013563000956)
