Gevonden: 133 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11500 | 9966 | Point (3.806154984445021 51.415653196487526)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11500 | 9966 | Point (3.806158419295816 51.4156522923879)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11829 | 22795 | Point (3.985934474905607 51.26137558565471)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11829 | 22795 | Point (3.985938266609207 51.261375062534285)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12266 | 16402 | Point (3.819231255748704 51.49318059111359)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12266 | 16402 | Point (3.819234253693612 51.493179705965645)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12953 | 23487 | Point (3.951897387061361 51.46774592371681)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12953 | 23487 | Point (3.951894505121708 51.46774653871754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15163 | 16445 | Point (3.916180684153362 51.50046490845756)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15163 | 16445 | Point (3.916177898127302 51.50046559663646)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16371 | 35380 | Point (4.144865799008889 51.54357548523942)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16371 | 35380 | Point (4.144867995439502 51.5435752131364)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16815 | 23513 | Point (3.982368966573823 51.52451931906363)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16815 | 23513 | Point (3.982371519582526 51.52451875688304)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17501 | 9963 | Point (3.884114258091658 51.408053730822246)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17501 | 9963 | Point (3.884117570787665 51.408052988670796)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17726 | 19986 | Point (4.275419804696831 51.52959972264364)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17726 | 19986 | Point (4.275421843600678 51.52959966220125)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17899 | 23511 | Point (4.011504342673748 51.51655957914564)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17899 | 23511 | Point (4.011506883603855 51.516559072416754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18727 | 386771 | Point (3.91562774805173 51.50063773798719)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18727 | 386771 | Point (3.915624961903828 51.50063842727729)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19067 | 23512 | Point (4.01144809726734 51.51603751199953)
